query,query_id,product_id,product_locale,product_title,product_description,product_bullet_point,product_brand,product_color,esci_label
"dewalt 8v max cordless screwdriver kit, gyroscopic",32814,B07S7F53YK,us,"DEWALT DCF680N2 8V Max Gyroscopic Screwdriver 2 Battery Kit with DEWALT DWST08201 Tough System Case, Small",,"Motion-activated Variable Speed & Reversing Control For Precise Fastening Control
0rpm-430rpm For Fastening Into Wood, Plastic & Light-gauge Metal
Structural foam box for robust and durable structure
Removable 2 size cups for small parts organization and inner lid organizers for drills & bits",DEWALT,,E
"dewalt 8v max cordless screwdriver kit, gyroscopic",32814,B00EUHAGX0,us,DEWALT DCB095 8V MAX Battery Charger,,"Charges all DEWALT 8V MAX Li-Ion batteries
Charges the battery in 1 hour or less
Diagnostics with LED indicator",DEWALT,Black,E
"dewalt 8v max cordless screwdriver kit, gyroscopic",32814,B00DL7QDS2,us,"DEWALT 8V MAX Cordless Screwdriver Kit, Gyroscopic, 2 Batteries, Electric (DCF680N2)",,"The cordless screwdriver features motion activation variable speed and reversing control for precise fastening control
Motion activated variable speed 0-430 rpm of the rechargeable screwdriver is made for fastening into wood, plastic, and light-gauge metal
Adjustable two-position handle of the powered screwdriver allows for operation in either in-line or pistol-grip
Allows control when completing light fastening applications
LED provides illumination in confined areas without shadowing",DEWALT,Yellow,E
"dewalt 8v max cordless screwdriver kit, gyroscopic",32814,B011WRUODC,us,"DEWALT 8V MAX Cordless Screwdriver Kit, Gyroscopic, 1 Battery, Electric (DCF682N1)",,"The cordless screwdriver features motion activation variable speed and reversing control for precise fastening control
Motion activated variable speed 0-430 rpm of the rechargeable screwdriver is made for fastening into wood, plastic, and light-gauge metal
The powered screwdriver allows illumination in confined areas without shadowing
Battery charge status on tool notifies when to charge packs
1/4-inch hex allows for quick screwdriver bit change and holds 1-inch bit tips",DEWALT,Black,E
kodak photo paper 8.5 x 11 glossy,58953,B085G3MGFR,us,"Kodak photo paper 8.5 x 11 glossy, 50 counts 66 lb - 252 g/m (41159-8360513)",,,KODAK,,E
kodak photo paper 8.5 x 11 glossy,58953,B085F42SV6,us,"Kodak photo paper 8.5 x 11 matte, 100 count 39 lb - 145 g/m (41164-8318164)",,,KODAK,,E
kodak photo paper 8.5 x 11 glossy,58953,B01M0L2WLF,us,"Photo Paper, 6.5 mil, Glossy, 8-1/2 x 11, 100 Sheets/Pack",Perfect for everyday photo printing. Instant dry. No smearing or smudging. Works on all inkjet printers.,"Sold as 100 Sheets/Pack.
Instant dry.
No smearing or smudging.
Works on all inkjet printers.",KODAK,,E
kodak photo paper 8.5 x 11 glossy,58953,B01JB7D4SW,us,"Kodak 8209017 Photo Paper, 6.5 mil, Glossy, 8-1/2 x 11, 100 Sheets/Pack",Perfect for everyday photo printing. Instant dry. No smearing or smudging. Works on all inkjet printers.,"Sold as 100 Sheets/Pack.
Instant dry.
No smearing or smudging.
Works on all inkjet printers.",Doaaler,,E
kodak photo paper 8.5 x 11 glossy,58953,B000EZTYHG,us,"Kodak Photo Paper for inkjet printers, Gloss Finish, 7 mil thickness, 50 Sheets, 8.5” x 11” (1213712)",,"Instant dry. For quality, colorful prints. Affordably priced. No smearing, no smudging. Available in gloss and matte finishes. Universal compatibility.
Instant dry.
For quality, colorful prints. Affordably priced.
Available in gloss and matte finishes.
Universal compatibility.",KODAK,White,E
kodak photo paper 8.5 x 11 glossy,58953,B000EZTYG2,us,"Kodak Ultra Premium Photo Paper for inkjet printers, Gloss Finish, 10.7 mil thickness, 25 sheets, 8.5” x 11” (8366353),White",,"Professional high gloss photos for a lifetime of memories
Instant dry: No smearing, no smudging
Guaranteed to work with any inkjet printer
When a picture on a screen just isn’t enough, trust Kodak, the #1 brand of photo paper",KODAK,White,E
kodak photo paper 8.5 x 11 glossy,58953,B000EZTYCG,us,"Kodak Premium Photo Paper for inkjet printers, Gloss Finish, 8.5 mil thickness, 25 Sheets, 8.5” x 11” (8689283)",,"Glossy photos for everyday prints and albums
Instant dry: No smearing, no smudging
Guaranteed to work with any inkjet printer
When a picture on a screen just isn’t enough, trust Kodak, the #1 brand of photo paper",KODAK,White,E
kodak photo paper 8.5 x 11 glossy,58953,B000EZ0CTK,us,"Kodak Photo Paper for inkjet printers, Matte Finish, 7 mil thickness, 100 sheets, 8.5” x 11” (8318164)",,"Basic matte paper for arts, craft and snapshots
Instant dry: No smearing or smudging
Guaranteed to work with any inkjet printer
When a picture on a screen just isn’t enough, trust Kodak, the #1 brand of photo paper",KODAK,White,E
kodak photo paper 8.5 x 11 glossy,58953,B000EYAKKW,us,"Kodak Premium Photo Paper for inkjet printers, Gloss Finish, 8.5 mil thickness, 50 Sheets, 8.5” x 11” (8360513),White",,"Glossy Photos For Everyday Prints And Albums
Instant Dry: No Smearing, No Smudging
Work With Any Inkjet Printer
When A Picture On A Screen Just Isn’t Enough, Trust Kodak, The #1 Brand Of Photo Paper",KODAK,White,E
kodak photo paper 8.5 x 11 glossy,58953,B000EYAKJS,us,"KODAK Photo Paper Gloss 8.5""x11"", 25 count, 48lb-180g/m2 weight, 6.5 mil thickness (41161 - 1912369),White",,"Basic gloss paper for arts, craft and snapshots
Instant dry: No smearing or smudging
Guaranteed to work with any inkjet printer
When a picture on a screen just isn’t enough, trust Kodak, the #1 brand of photo paper",KODAK,White,E
